match_id,unix_epoc_secs,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,location,competition
1527,49766400000,38,Australia,6,39,South Africa,14,Australia,Tour 1971
1781,49818600000,37,New Zealand,3,55,British & Irish Lions,13,New Zealand,Tour 1971
1528,50371200000,38,Australia,6,39,South Africa,18,Australia,Tour 1971
8794,50889600000,769,Sweden,11,715,Denmark,3,,
8795,50976000000,769,Sweden,6,64,Netherlands,0,,
1782,51028200000,37,New Zealand,14,55,British & Irish Lions,14,New Zealand,Tour 1971
8796,51062400000,769,Sweden,9,1211,Czechoslovakia,9,,
4500,54518400000,49,Japan,19,34,England,27,Japan,Tour 1971
4498,54864000000,49,Japan,3,34,England,6,Japan,Tour 1971
5297,55036800000,725,Hong Kong,0,34,England,26,,Tour 1971
3972,55263600000,33,Wales,56,50,Canada,10,Wales,Tour 1971
5298,55296000000,760,Singapore,9,34,England,36,,Tour 1971
5299,55555200000,766,Sri Lanka,11,34,England,40,,Tour 1971
5300,55728000000,766,Sri Lanka,6,34,England,34,,Tour 1971
4404,55814400000,68,Uruguay,54,751,Paraguay,3,Uruguay,South American Championship A 1971
3293,55900800000,40,Argentina,20,708,Chile,3,Uruguay,South American Championship A 1971
8797,55900800000,769,Sweden,3,699,Belgium,7,,
3292,56073600000,40,Argentina,50,703,Brazil,6,Uruguay,South American Championship A 1971
4403,56073600000,68,Uruguay,6,708,Chile,11,Uruguay,South American Championship A 1971
4402,56246400000,68,Uruguay,37,703,Brazil,11,Uruguay,South American Championship A 1971
8799,56246400000,708,Chile,40,751,Paraguay,0,Uruguay,
28616,56419200000,721,Germany,14,64,Netherlands,9,,
3291,56419200000,40,Argentina,61,751,Paraguay,0,Uruguay,South American Championship A 1971
8798,56419200000,703,Brazil,3,708,Chile,45,Uruguay,
28617,56505600000,721,Germany,27,699,Belgium,3,,
3290,56505600000,40,Argentina,55,68,Uruguay,6,Uruguay,South American Championship A 1971
1529,59443200000,42,France,11,38,Australia,13,France,Tour 1971
1530,60048000000,42,France,18,38,Australia,9,France,Tour 1971
4743,60780600000,43,Spain,26,783,Yugoslavia,4,Spain,
2598,61257600000,42,France,31,52,Romania,12,France,Federation Internationale de Rugby Amateur Championship 1971
4890,63072000000,45,Samoa,14,47,Tonga,16,,
4891,63072000000,45,Samoa,18,47,Tonga,26,,
1324,64332900000,35,Scotland,20,42,France,9,Scotland,Five Nations 1972
545,64333800000,34,England,3,33,Wales,12,England,Five Nations 1972
1325,65491200000,42,France,9,36,Ireland,14,France,Five Nations 1972
9903,65577600000,745,Morocco,3,42,France,72,,
546,66149100000,33,Wales,35,35,Scotland,12,Wales,Five Nations 1972
990,66700800000,34,England,12,36,Ireland,16,England,Five Nations 1972
3829,67392000000,41,Italy,0,44,Portugal,0,,
991,67910400000,42,France,37,34,England,12,France,Five Nations 1972
992,69778800000,35,Scotland,23,34,England,9,Scotland,Five Nations 1972
547,70383600000,33,Wales,20,42,France,6,Wales,Five Nations 1972
5230,71020800000,44,Portugal,7,41,Italy,15,Portugal,
5125,72835200000,42,France,68,1211,Czechoslovakia,3,,
5127,73180800000,745,Morocco,21,1211,Czechoslovakia,3,,
3672,73407600000,36,Ireland,24,42,France,14,Ireland,
4744,73477800000,783,Yugoslavia,7,43,Spain,21,Croatia,
2700,73501200000,52,Romania,58,745,Morocco,6,Romania,Federation Internationale de Rugby Amateur Championship 1972
3827,74691000000,43,Spain,10,41,Italy,0,Spain,
4121,75168000000,254,Western Province,6,34,England,9,South Africa,Tour 1972
2699,75306600000,1211,Czechoslovakia,3,52,Romania,22,Czech Republic,Federation Internationale de Rugby Amateur Championship 1972
3826,75312000000,41,Italy,6,43,Spain,6,,Federation Internationale de Rugby Amateur Championship 1972
5478,75772800000,45,Samoa,0,47,Tonga,14,,
5479,76204800000,45,Samoa,19,47,Tonga,28,,
993,76377600000,39,South Africa,9,34,England,18,South Africa,Tour 1972
1531,77641200000,38,Australia,14,42,France,14,Australia,
1532,78278400000,38,Australia,15,42,France,16,Australia,
3501,80006400000,47,Tonga,10,46,Fiji,18,Tonga,
3500,80611200000,47,Tonga,6,46,Fiji,17,Tonga,
3499,81820800000,47,Tonga,9,46,Fiji,10,Tonga,
1533,83082600000,37,New Zealand,29,38,Australia,6,New Zealand,Tour 1972
1534,84292200000,37,New Zealand,30,38,Australia,17,New Zealand,Tour 1972
1535,85501800000,37,New Zealand,38,38,Australia,3,New Zealand,Tour 1972
1536,85708800000,46,Fiji,19,38,Australia,21,Fiji,Tour 1972
5129,87350400000,753,Poland,23,1211,Czechoslovakia,9,,
8800,88300800000,769,Sweden,26,715,Denmark,12,,
28621,88473600000,64,Netherlands,13,721,Germany,17,,
28622,88473600000,721,Germany,28,699,Belgium,3,,
5131,89078400000,1211,Czechoslovakia,47,721,Germany,3,,
4408,89683200000,49,Japan,60,760,Singapore,4,,Asian Championship 1972
5611,89683200000,741,Malaysia,9,766,Sri Lanka,23,,Asian Championship 1972
4945,89769600000,772,Thailand,13,736,Korea,12,,Asian Championship 1972
4409,89856000000,49,Japan,51,766,Sri Lanka,0,,Asian Championship 1972
5609,89856000000,741,Malaysia,13,760,Singapore,26,,Asian Championship 1972
4944,89942400000,725,Hong Kong,18,736,Korea,6,,Asian Championship 1972
4411,90028800000,49,Japan,40,741,Malaysia,0,,Asian Championship 1972
5610,90028800000,760,Singapore,9,766,Sri Lanka,6,,Asian Championship 1972
5029,90115200000,725,Hong Kong,17,772,Thailand,0,,Asian Championship 1972
4492,90288000000,725,Hong Kong,0,49,Japan,16,Hong Kong,Asian Championship 1972
4943,90288000000,766,Sri Lanka,0,736,Korea,37,,Asian Championship 1972
5028,90288000000,772,Thailand,26,760,Singapore,3,,Asian Championship 1972
2748,90417600000,52,Romania,10,721,Germany,11,Romania,Federation Internationale de Rugby Amateur Championship 1972
8801,90633600000,699,Belgium,3,783,Yugoslavia,0,,
8802,90979200000,64,Netherlands,9,783,Yugoslavia,3,,
2586,91584000000,52,Romania,6,42,France,15,Romania,Federation Internationale de Rugby Amateur Championship 1972
3825,91584000000,41,Italy,13,783,Yugoslavia,12,,
548,92154600000,33,Wales,16,37,New Zealand,19,Wales,Tour 1972
4746,92620800000,43,Spain,3,753,Poland,0,Spain,
1783,93363300000,35,Scotland,9,37,New Zealand,14,Scotland,Tour 1972
5027,94694400000,741,Malaysia,3,772,Thailand,4,,
8075,94694400000,741,Malaysia,3,772,Thailand,4,,
994,95177700000,34,England,0,37,New Zealand,9,England,Tour 1972
1326,95731200000,42,France,16,35,Scotland,13,France,Five Nations 1973
549,96389100000,33,Wales,25,34,England,9,Wales,Five Nations 1973
1784,96390000000,36,Ireland,10,37,New Zealand,10,Ireland,Tour 1972
550,97597800000,35,Scotland,10,33,Wales,9,Scotland,Five Nations 1973
1785,98150400000,42,France,13,37,New Zealand,6,France,Tour 1972
995,98204400000,36,Ireland,18,34,England,9,Ireland,Five Nations 1973
1327,99414000000,35,Scotland,19,36,Ireland,14,Scotland,Five Nations 1973
996,99414000000,34,England,14,42,France,6,England,Five Nations 1973
9904,99964800000,42,France,73,745,Morocco,6,,
551,100623600000,33,Wales,16,36,Ireland,12,Wales,Five Nations 1973
4747,100711800000,745,Morocco,9,43,Spain,20,Morocco,
997,101174400000,34,England,20,35,Scotland,13,England,Five Nations 1973
552,101779200000,42,France,12,33,Wales,3,France,Five Nations 1973
3824,101865600000,41,Italy,6,44,Portugal,9,Portugal,
5133,102988800000,1211,Czechoslovakia,16,753,Poland,6,,
8388,103075200000,783,Yugoslavia,3,44,Portugal,3,,Federation Internationale de Rugby Amateur Championship 1973
8390,103334400000,770,Switzerland,4,44,Portugal,23,,
1328,103593600000,36,Ireland,6,42,France,4,Ireland,Five Nations 1973
2746,103654800000,52,Romania,16,43,Spain,3,Romania,Federation Internationale de Rugby Amateur Championship 1973
8803,104112000000,1165,East Germany,22,769,Sweden,12,,
5135,104284800000,1211,Czechoslovakia,45,704,Bulgaria,0,,
8393,104284800000,753,Poland,35,44,Portugal,13,,Federation Internationale de Rugby Amateur Championship 1973
2745,104346000000,52,Romania,69,745,Morocco,9,Romania,Federation Internationale de Rugby Amateur Championship 1973
